id;nom;pwd;statut;classe_id;communique_id;matricule
dev2;Developper 2;devpass;AA;DEMO1;fake-0001;
dev3;Developper 3;devpass;AA;DEMO3;fake-0001;25NDOB01A
dev4;Developper 4;devpass;AA;DEMO4;fake-0001;25NDOL01A
DEMO-25AA-001;Etudiant demo 1;0000;AA;DEMO1;fake-0001;24NDOT001
DEMO-25AA-002;Etudiant demo 2;0000;AA;DEMO1;fake-0001;25NDOT002
DEMO-25AA-003;Etudiant demo 3;0000;AA;DEMO3;fake-0001;25NDOT003
DEMO-25AA-004;Etudiant demo 4;0000;AA;DEMO4;fake-0001;19NDOT004
DEMO-25AA-005;Etudiant demo 5;0000;AA;DEMO4;fake-0001;25NDOT005
DEMO1-25CP-001;Etudiant CPS demo 1;0000;CP;CPDEMO1;fake-0002;
DEMO3-25CP-001;Etudiant CPS demo 2;0000;CP;CPDEMO3;fake-0002;
DEMO4-25CP-001;Etudiant CPS demo 3;0000;CP;CPDEMO4;fake-0002;
DEMO5-25CP-001;Etudiant CPS demo 4;0000;CP;CPDEMO5;fake-0002;
