admission_id;nom;prenom;date_naissance;lieu_naissance;sexe_id;situation_matrimoniale_id;departement_origine_id;telephone;email;langue_id;diplome;annee_diplome;nom_pere;profession_pere;telephone_pere;residence_pere;nom_mere;profession_mere;telephone_mere;residence_mere
dev3;Developper 3;;01/01/2001;Maternite de la ville 1;F;C;dep4;6 70 70 90 91;admis1@yahoo.co;FR;Diplome demo type 1;2011;Pere developper 3;Metier demo;6 75 75 75 / 6 99 98 98 98;Ville demo;;;;
dev4;Developper 4;;02/02/2002;Maternite de la ville 2;M;M;dep6;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 2;2012;;;;;Mere developper 4;Autre Metier demo;6 94 94 95 95;Autre Ville Demo
DEMO-25AA-001;Etudiant demo 1;Test Test test you oooooo ooooo oooooo;03/02/2002;Maternite de la ville 3;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 3;2003;;;;;;;;
DEMO-25AA-002;Etudiant demo 2;Test Test test you oooooo ooooo oooooo;04/02/2002;Maternite de la ville 4;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 4;2004;;;;;;;;
DEMO-25AA-003;Etudiant demo 3;Test Test test you oooooo ooooo oooooo;05/02/2002;Maternite de la ville 5;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 5;2005;;;;;;;;
DEMO-25AA-004;Etudiant demo 4;Test Test test you oooooo ooooo oooooo;06/02/2002;Maternite de la ville 6;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 6;2006;;;;;;;;
DEMO-25AA-005;Etudiant demo 5;Test Test test you oooooo ooooo oooooo;07/02/2002;Maternite de la ville 7;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 7;2007;;;;;;;;
DEMO-25AA-006;Etudiant demo 6;Test Test test you oooooo ooooo oooooo;08/02/2002;Maternite de la ville 8;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 8;2008;;;;;;;;
DEMO-25AA-007;Etudiant demo 7;Test Test test you oooooo ooooo oooooo;09/02/2002;Maternite de la ville 9;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 9;2009;;;;;;;;
DEMO-25AA-008;Etudiant demo 8;Test Test test you oooooo ooooo oooooo;10/02/2002;Maternite de la ville 10;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 10;2010;;;;;;;;
DEMO-25AA-009;Etudiant demo 9;Test Test test you oooooo ooooo oooooo;11/02/2002;Maternite de la ville 11;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 11;2010;;;;;;;;
DEMO-25AA-010;Etudiant demo 10;Test Test test you oooooo ooooo oooooo;12/02/2002;Maternite de la ville 12;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 12;2010;;;;;;;;
DEMO-25AA-011;Etudiant demo 11;Test Test test you oooooo ooooo oooooo;13/02/2002;Maternite de la ville 13;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 13;2010;;;;;;;;
DEMO-25AA-012;Etudiant demo 12;Test Test test you oooooo ooooo oooooo;14/02/2002;Maternite de la ville 14;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 14;2010;;;;;;;;
DEMO-25AA-013;Etudiant demo 13;Test Test test you oooooo ooooo oooooo;15/02/2002;Maternite de la ville 15;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 15;2010;;;;;;;;
DEMO-25AA-014;Etudiant demo 14;Test Test test you oooooo ooooo oooooo;16/02/2002;Maternite de la ville 16;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 16;2010;;;;;;;;
DEMO-25AA-015;Etudiant demo 15;Test Test test you oooooo ooooo oooooo;17/02/2002;Maternite de la ville 17;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 17;2010;;;;;;;;
DEMO-25AA-016;Etudiant demo 16;Test Test test you oooooo ooooo oooooo;18/02/2002;Maternite de la ville 18;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 18;2010;;;;;;;;
DEMO-25AA-017;Etudiant demo 17;Test Test test you oooooo ooooo oooooo;19/02/2002;Maternite de la ville 19;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 19;2010;;;;;;;;
DEMO-25AA-018;Etudiant demo 18;Test Test test you oooooo ooooo oooooo;20/02/2002;Maternite de la ville 20;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 20;2010;;;;;;;;
DEMO-25AA-019;Etudiant demo 19;Test Test test you oooooo ooooo oooooo;21/02/2002;Maternite de la ville 21;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 21;2010;;;;;;;;
DEMO-25AA-020;Etudiant demo 20;Test Test test you oooooo ooooo oooooo;22/02/2002;Maternite de la ville 22;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 22;2010;;;;;;;;
DEMO-25AA-021;Etudiant demo 21;Test Test test you oooooo ooooo oooooo;23/02/2002;Maternite de la ville 23;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 23;2010;;;;;;;;
DEMO-25AA-022;Etudiant demo 22;Test Test test you oooooo ooooo oooooo;24/02/2002;Maternite de la ville 24;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 24;2010;;;;;;;;
DEMO-25AA-023;Etudiant demo 23;Test Test test you oooooo ooooo oooooo;25/02/2002;Maternite de la ville 25;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 25;2010;;;;;;;;
DEMO-25AA-024;Etudiant demo 24;Test Test test you oooooo ooooo oooooo;26/02/2002;Maternite de la ville 26;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 26;2010;;;;;;;;
DEMO-25AA-025;Etudiant demo 25;Test Test test you oooooo ooooo oooooo;27/02/2002;Maternite de la ville 27;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 27;2010;;;;;;;;
DEMO-25AA-026;Etudiant demo 26;Test Test test you oooooo ooooo oooooo;28/02/2002;Maternite de la ville 28;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 28;2010;;;;;;;;
DEMO-25AA-027;Etudiant demo 27;Test Test test you oooooo ooooo oooooo;01/03/2002;Maternite de la ville 29;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 29;2010;;;;;;;;
DEMO-25AA-028;Etudiant demo 28;Test Test test you oooooo ooooo oooooo;02/03/2002;Maternite de la ville 30;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 30;2010;;;;;;;;
DEMO-25AA-029;Etudiant demo 29;Test Test test you oooooo ooooo oooooo;03/03/2002;Maternite de la ville 31;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 31;2010;;;;;;;;
DEMO-25AA-030;Etudiant demo 30;Test Test test you oooooo ooooo oooooo;04/03/2002;Maternite de la ville 32;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 32;2010;;;;;;;;
DEMO-25AA-031;Etudiant demo 31;Test Test test you oooooo ooooo oooooo;05/03/2002;Maternite de la ville 33;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 33;2010;;;;;;;;
DEMO-25AA-032;Etudiant demo 32;Test Test test you oooooo ooooo oooooo;06/03/2002;Maternite de la ville 34;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 34;2010;;;;;;;;
DEMO-25AA-033;Etudiant demo 33;Test Test test you oooooo ooooo oooooo;07/03/2002;Maternite de la ville 35;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 35;2010;;;;;;;;
DEMO-25AA-034;Etudiant demo 34;Test Test test you oooooo ooooo oooooo;08/03/2002;Maternite de la ville 36;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 36;2010;;;;;;;;
DEMO-25AA-035;Etudiant demo 35;Test Test test you oooooo ooooo oooooo;09/03/2002;Maternite de la ville 37;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 37;2010;;;;;;;;
DEMO-25AA-036;Etudiant demo 36;Test Test test you oooooo ooooo oooooo;10/03/2002;Maternite de la ville 38;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 38;2010;;;;;;;;
DEMO-25AA-037;Etudiant demo 37;Test Test test you oooooo ooooo oooooo;11/03/2002;Maternite de la ville 39;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 39;2010;;;;;;;;
DEMO-25AA-038;Etudiant demo 38;Test Test test you oooooo ooooo oooooo;12/03/2002;Maternite de la ville 40;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 40;2010;;;;;;;;
DEMO-25AA-039;Etudiant demo 39;Test Test test you oooooo ooooo oooooo;13/03/2002;Maternite de la ville 41;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 41;2010;;;;;;;;
DEMO-25AA-040;Etudiant demo 40;Test Test test you oooooo ooooo oooooo;14/03/2002;Maternite de la ville 42;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 42;2010;;;;;;;;
DEMO-25AA-041;Etudiant demo 41;Test Test test you oooooo ooooo oooooo;15/03/2002;Maternite de la ville 43;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 43;2010;;;;;;;;
DEMO-25AA-042;Etudiant demo 42;Test Test test you oooooo ooooo oooooo;16/03/2002;Maternite de la ville 44;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 44;2010;;;;;;;;
DEMO-25AA-043;Etudiant demo 43;Test Test test you oooooo ooooo oooooo;17/03/2002;Maternite de la ville 45;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 45;2010;;;;;;;;
DEMO-25AA-044;Etudiant demo 44;Test Test test you oooooo ooooo oooooo;18/03/2002;Maternite de la ville 46;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 46;2010;;;;;;;;
DEMO-25AA-045;Etudiant demo 45;Test Test test you oooooo ooooo oooooo;19/03/2002;Maternite de la ville 47;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 47;2010;;;;;;;;
DEMO-25AA-046;Etudiant demo 46;Test Test test you oooooo ooooo oooooo;20/03/2002;Maternite de la ville 48;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 48;2010;;;;;;;;
DEMO-25AA-047;Etudiant demo 47;Test Test test you oooooo ooooo oooooo;21/03/2002;Maternite de la ville 49;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 49;2010;;;;;;;;
DEMO-25AA-048;Etudiant demo 48;Test Test test you oooooo ooooo oooooo;22/03/2002;Maternite de la ville 50;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 50;2010;;;;;;;;
DEMO-25AA-049;Etudiant demo 49;Test Test test you oooooo ooooo oooooo;23/03/2002;Maternite de la ville 51;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 51;2010;;;;;;;;
DEMO-25AA-050;Etudiant demo 50;Test Test test you oooooo ooooo oooooo;24/03/2002;Maternite de la ville 52;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 52;2010;;;;;;;;
DEMO-25AA-051;Etudiant demo 51;Test Test test you oooooo ooooo oooooo;25/03/2002;Maternite de la ville 53;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 53;2010;;;;;;;;
DEMO-25AA-052;Etudiant demo 52;Test Test test you oooooo ooooo oooooo;26/03/2002;Maternite de la ville 54;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 54;2010;;;;;;;;
DEMO-25AA-053;Etudiant demo 53;Test Test test you oooooo ooooo oooooo;27/03/2002;Maternite de la ville 55;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 55;2010;;;;;;;;
DEMO-25AA-054;Etudiant demo 54;Test Test test you oooooo ooooo oooooo;28/03/2002;Maternite de la ville 56;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 56;2010;;;;;;;;
DEMO-25AA-055;Etudiant demo 55;Test Test test you oooooo ooooo oooooo;29/03/2002;Maternite de la ville 57;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 57;2010;;;;;;;;
DEMO-25AA-056;Etudiant demo 56;Test Test test you oooooo ooooo oooooo;30/03/2002;Maternite de la ville 58;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 58;2010;;;;;;;;
DEMO-25AA-057;Etudiant demo 57;Test Test test you oooooo ooooo oooooo;31/03/2002;Maternite de la ville 59;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 59;2010;;;;;;;;
DEMO-25AA-058;Etudiant demo 58;Test Test test you oooooo ooooo oooooo;01/04/2002;Maternite de la ville 60;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 60;2010;;;;;;;;
DEMO-25AA-059;Etudiant demo 59;Test Test test you oooooo ooooo oooooo;02/04/2002;Maternite de la ville 61;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 61;2010;;;;;;;;
DEMO-25AA-060;Etudiant demo 60;Test Test test you oooooo ooooo oooooo;03/04/2002;Maternite de la ville 62;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 62;2010;;;;;;;;
DEMO-25AA-061;Etudiant demo 61;Test Test test you oooooo ooooo oooooo;04/04/2002;Maternite de la ville 63;M;M;dep4;6 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 63;2010;;;;;;;;
DEMO-25AA-062;Etudiant demo 62;Test Test test you oooooo ooooo oooooo;05/04/2002;Maternite de la ville 64;M;M;dep6;7 90 90 70 72;admis2@yahoo.en;EN;Diplome demo type 64;2010;;;;;;;;
